generation,status,count,percentage
First generation,Canadian citizen by birth,1259.284425231832,0.562355074485735
First generation,Canadian citizen by naturalization,135372.20399913206,60.452781228684806
First generation,Not a Canadian citizen,61002.381540937175,27.241660523948326
Second generation,Canadian citizen by birth,24592.856657549844,10.98236225301316
Third+ generation,Canadian citizen by birth,740.6703032292476,0.33075903679597635
Unknown,Canadian citizen by birth,963.0844309926855,0.43008188307199674
