"lga_name","state","count"
"Swan Hill","Victoria",7
"Gympie","Queensland",7
"Charters Towers","Queensland",7
"East Pilbara","Western Australia",7
"Golden Plains","Victoria",7
"Port Hedland","Western Australia",7
"Noosa","Queensland",7
"Yass Valley","New South Wales",6
"Mount Alexander","Victoria",6
"Kempsey","New South Wales",6
"Victor Harbor","South Australia",6
"Maranoa","Queensland",6
"Central Coast (Tas.)","Tasmania",6
"Burnie","Tasmania",6
"Collie","Western Australia",6
"Unincorporated NT","Northern Territory",6
"Lithgow","New South Wales",6
"Benalla","Victoria",6
"Ashburton","Western Australia",6
"Tablelands","Queensland",6
"Mid Murray","South Australia",5
"Ararat","Victoria",5
"Bass Coast","Victoria",5
"Capel","Western Australia",5
"Busselton","Western Australia",5
"Loxton Waikerie","South Australia",5
"Macedon Ranges","Victoria",5
"Moyne","Victoria",5
"Katanning","Western Australia",5
"Hepburn","Victoria",5
"Whitsunday","Queensland",5
"Greater Geraldton","Western Australia",5
"Ravensthorpe","Western Australia",5
"Naracoorte Lucindale","South Australia",4
"Brighton","Tasmania",4
"Harvey","Western Australia",4
"Towong","Victoria",4
"Devonport","Tasmania",4
"No usual address (ACT)","Australian Capital Territory",4
"Cabonne","New South Wales",4
"Adelaide Plains","South Australia",4
"Hilltops","New South Wales",4
"Whyalla","South Australia",4
"Litchfield","Northern Territory",4
"Esperance","Western Australia",4
"Carnarvon","Western Australia",4
"Parkes","New South Wales",4
"Karratha","Western Australia",4
"Narrandera","New South Wales",4
"Wattle Range","South Australia",3
"Western Downs","Queensland",3
"Plantagenet","Western Australia",3
"Glenelg","Victoria",3
"Colac Otway","Victoria",3
"Manjimup","Western Australia",3
"South Burnett","Queensland",3
"Somerset","Queensland",3
"Light","South Australia",3
"Southern Downs","Queensland",3
"Blayney","New South Wales",3
"Derwent Valley","Tasmania",3
"Port Pirie","South Australia",3
"Warrnambool","Victoria",3
"Peppermint Grove","Western Australia",3
"Cottesloe","Western Australia",3
"Gannawarra","Victoria",3
"Port Augusta","South Australia",3
"Broken Hill","New South Wales",3
"Horsham","Victoria",3
"Livingstone","Queensland",3
"Mount Isa","Queensland",3
"Roxby Downs","South Australia",3
"Oberon","New South Wales",3
"Broome","Western Australia",3
"Mid-Western Regional","New South Wales",3
"George Town","Tasmania",3
"Burdekin","Queensland",3
"North Burnett","Queensland",3
