"sa2_name","state","count"
"Bundall","Queensland",24
"Royal Park - Hendon - Albert Park","South Australia",24
"Franklin","Australian Capital Territory",24
"Weston","Australian Capital Territory",24
"Lilyfield - Rozelle","New South Wales",23
"Shellharbour - Flinders","New South Wales",23
"Pascoe Vale South","Victoria",23
"Mordialloc - Parkdale","Victoria",23
"Melton South - Weir Views","Victoria",23
"Tarneit - South","Victoria",23
"Stafford","Queensland",23
"Ashgrove","Queensland",23
"Broadbeach Waters","Queensland",23
"Carrara","Queensland",23
"Parkwood","Queensland",23
"Port Adelaide","South Australia",23
"Mount Hawthorn - Leederville","Western Australia",23
"Girrawheen","Western Australia",23
"Sandy Bay","Tasmania",23
"Launceston","Tasmania",23
"Revesby","New South Wales",22
"Kogarah Bay - Carlton - Allawah","New South Wales",22
"Macquarie Fields","New South Wales",22
"Sylvania - Taren Point","New South Wales",22
"Kew East","Victoria",22
"Beaumaris","Victoria",22
"Pakenham - North East","Victoria",22
"St Albans - South","Victoria",22
"Sydenham","Victoria",22
"Fraser Rise - Plumpton","Victoria",22
"Wyndham Vale - North","Victoria",22
"Skye - Sandhurst","Victoria",22
"Mount Eliza","Victoria",22
"Kialla","Victoria",22
"Windsor","Queensland",22
"Shailer Park","Queensland",22
"Eatons Hill","Queensland",22
"Murrumba Downs - Griffin","Queensland",22
"Mount Barker","South Australia",22
"Uraidla - Summertown","South Australia",22
"Beverley","South Australia",22
"West Lakes","South Australia",22
"City Beach","Western Australia",22
"Greenwood - Warwick","Western Australia",22
"Byford","Western Australia",22
"Jandakot","Western Australia",22
"Turner","Australian Capital Territory",22
"Newtown (NSW)","New South Wales",21
"Haberfield - Summer Hill","New South Wales",21
"Wagga Wagga - West","New South Wales",21
"Coburg - West","Victoria",21
"Northcote - West","Victoria",21
"East Melbourne","Victoria",21
"Elwood","Victoria",21
"Ashburton (Vic.)","Victoria",21
"Laverton","Victoria",21
"Lara","Victoria",21
"Boondall","Queensland",21
"Camp Hill","Queensland",21
"Chelmer - Graceville","Queensland",21
"Pimpama - North","Queensland",21
"Floreat","Western Australia",21
"Coolbellup","Western Australia",21
"Kalgoorlie - North","Western Australia",21
"Civic","Australian Capital Territory",21
"Griffith (ACT)","Australian Capital Territory",21
"Warnervale - Wadalba","New South Wales",20
"Maroubra - West","New South Wales",20
"Kingsgrove (South) - Bardwell Park","New South Wales",20
"Strathfield - East","New South Wales",20
"Newport - Bilgola","New South Wales",20
"Collaroy - Collaroy Plateau","New South Wales",20
"Regents Park","New South Wales",20
"South Yarra - South","Victoria",20
"Keilor","Victoria",20
"Coburg North","Victoria",20
"Pakenham - South East","Victoria",20
"Narre Warren North","Victoria",20
"Mildura - North","Victoria",20
"Alexandra Hills","Queensland",20
"Bracken Ridge","Queensland",20
"Cannon Hill","Queensland",20
"Springwood","Queensland",20
"Sippy Downs","Queensland",20
"Happy Valley","South Australia",20
"Ocean Reef","Western Australia",20
"Beeliar - Wattleup","Western Australia",20
"Baldivis - South","Western Australia",20
"Kalgoorlie","Western Australia",20
"Hobart","Tasmania",20
"Harrison","Australian Capital Territory",20
"Moncrieff","Australian Capital Territory",20
"Marrickville - North","New South Wales",19
"Camperdown - Darlington","New South Wales",19
"Maroubra - South","New South Wales",19
"Condell Park","New South Wales",19
"Wiley Park","New South Wales",19
"Jordan Springs - Llandilo","New South Wales",19
"Windsor - Bligh Park","New South Wales",19
"Colyton - Oxley Park","New South Wales",19
"Putney","New South Wales",19
"Lurnea - Cartwright","New South Wales",19
"Bathurst - South","New South Wales",19
"Unanderra - Mount Kembla","New South Wales",19
"Corrimal - Tarrawanna - Bellambi","New South Wales",19
"Edgeworth - Cameron Park","New South Wales",19
"Collingwood","Victoria",19
"Delahey","Victoria",19
"Kangaroo Flat - Golden Square","Victoria",19
"Thornlands","Queensland",19
"Fairfield - Dutton Park","Queensland",19
"Auchenflower","Queensland",19
"Varsity Lakes","Queensland",19
"Buderim - South","Queensland",19
"Douglas","Queensland",19
"Christie Downs","South Australia",19
"Kewdale","Western Australia",19
"Fremantle","Western Australia",19
"Bicton - Palmyra","Western Australia",19
"Kaleen","Australian Capital Territory",19
"Braddon","Australian Capital Territory",19
"Lyneham","Australian Capital Territory",19
"Phillip","Australian Capital Territory",19
"Hurstville - Central","New South Wales",18
"Bexley - South","New South Wales",18
"Croydon Park - Enfield","New South Wales",18
"Goulburn","New South Wales",18
"Kensington (Vic.)","Victoria",18
"St Kilda East","Victoria",18
"Clifton Hill - Alphington","Victoria",18
"Hughesdale","Victoria",18
"Noble Park North","Victoria",18
"Melton West","Victoria",18
"Truganina - North","Victoria",18
"Brisbane Airport","Queensland",18
"Strathpine - Brendale","Queensland",18
"Trinity Beach - Smithfield","Queensland",18
"Mermaid Beach - Broadbeach","Queensland",18
"Mermaid Waters","Queensland",18
"Coombabah","Queensland",18
"Buderim - North","Queensland",18
"Nailsworth - Broadview","South Australia",18
"Seaford - Seaford Meadows","South Australia",18
"Darwin City","Northern Territory",18
"Casey","Australian Capital Territory",18
"Palmerston","Australian Capital Territory",18
"Glenfield","New South Wales",17
"Charlestown - Dudley","New South Wales",17
"Highett (West) - Cheltenham","Victoria",17
"Craigieburn - Central","Victoria",17
"Beaconsfield - Officer","Victoria",17
"Charlemont","Victoria",17
"Barwon Heads - Armstrong Creek","Victoria",17
"Belmont - Gumdale","Queensland",17
"Cleveland","Queensland",17
"Pinjarra Hills - Pullenvale","Queensland",17
"Corinda","Queensland",17
"Keperra","Queensland",17
"Kallangur","Queensland",17
"Drayton - Harristown","Queensland",17
"Brabham - Henley Brook","Western Australia",17
"Mindarie - Quinns Rocks - Jindalee","Western Australia",17
"Casuarina - Wandi","Western Australia",17
"Bonner","Australian Capital Territory",17
"Kambah","Australian Capital Territory",17
"Wright","Australian Capital Territory",17
"Schofields (West) - Colebee","New South Wales",16
"Lakemba","New South Wales",16
"South Hurstville - Blakehurst","New South Wales",16
"Balmain","New South Wales",16
"Cromer","New South Wales",16
"Richmond - Clarendon","New South Wales",16
"Thornton - Millers Forest","New South Wales",16
"Hamilton - Broadmeadow","New South Wales",16
"Bowral","New South Wales",16
"Preston - West","Victoria",16
"The Basin","Victoria",16
"Kings Park (Vic.)","Victoria",16
"Tarneit (West) - Mount Cottrell","Victoria",16
"Alfredton","Victoria",16
"Birkdale","Queensland",16
"Manly West","Queensland",16
"Underwood","Queensland",16
"Aveley","Western Australia",16
"Heathridge - Connolly","Western Australia",16
"Forrestfield - Wattle Grove","Western Australia",16
"Moonah","Tasmania",16
"Kariong","New South Wales",15
"Greenacre - North","New South Wales",15
"Panania (North) - Milperra","New South Wales",15
"Penshurst","New South Wales",15
"Ashfield - South","New South Wales",15
"Spring Farm","New South Wales",15
"Minto - St Andrews","New South Wales",15
"Waratah - North Lambton","New South Wales",15
"Lennox Head - Skennars Head","New South Wales",15
"Nowra","New South Wales",15
"Northcote - East","Victoria",15
"Carlton North - Princes Hill","Victoria",15
"Chelsea - Bonbeach","Victoria",15
"Strathmore","Victoria",15
"Keysborough - North","Victoria",15
"Cairnlea","Victoria",15
"Kurunjang - Toolern Vale","Victoria",15
"Wellington Point","Queensland",15
"Wynnum West - Hemmant","Queensland",15
"Enoggera","Queensland",15
"Highgate Hill","Queensland",15
"Camira - Gailes","Queensland",15
"Bethania - Waterford","Queensland",15
"Runaway Bay","Queensland",15
"Middle Ridge","Queensland",15
"Gawler - South","South Australia",15
"Craigmore - Blakeview","South Australia",15
"Aldinga","South Australia",15
"Mandurah - North","Western Australia",15
"Bateman","Western Australia",15
"Eaton - Pelican Point","Western Australia",15
"Lindisfarne - Rose Bay","Tasmania",15
"Conder","Australian Capital Territory",15
"Greenway","Australian Capital Territory",15
"Woollahra","New South Wales",14
"Mortdale - Oatley","New South Wales",14
"Bayview - Elanora Heights","New South Wales",14
"Narrabeen - Wheeler Heights","New South Wales",14
"Berkeley - Lake Heights - Cringila","New South Wales",14
"Wallan","Victoria",14
"Derrimut","Victoria",14
"Burnside Heights","Victoria",14
"Frankston South","Victoria",14
"Newtown (Vic.)","Victoria",14
"Bald Hills","Queensland",14
"Holland Park West","Queensland",14
"Bulimba","Queensland",14
"Norman Park","Queensland",14
"Waterford West","Queensland",14
"Maroochydore - Kuluin","Queensland",14
"Bargara - Burnett Heads","Queensland",14
"Munno Para West - Angle Vale","South Australia",14
"Largs Bay - Semaphore","South Australia",14
"Cloverdale","Western Australia",14
"Kingston Beach - Blackmans Bay","Tasmania",14
"Prospect Vale - Blackstone","Tasmania",14
"Holt","Australian Capital Territory",14
"Watson","Australian Capital Territory",14
"Galston - Laughtondale","New South Wales",13
"Earlwood","New South Wales",13
"Croydon","New South Wales",13
"Terrey Hills - Duffys Forest","New South Wales",13
"Holsworthy - Wattle Grove","New South Wales",13
"Queanbeyan","New South Wales",13
"Queanbeyan West - Jerrabomberra","New South Wales",13
"Merewether - The Junction","New South Wales",13
"Alphington - Fairfield","Victoria",13
"Croydon South","Victoria",13
"Cranbourne South","Victoria",13
"Manor Lakes - Quandong","Victoria",13
"Ballarat","Victoria",13
"West Wodonga","Victoria",13
"Wynnum","Queensland",13
"Macgregor (Qld)","Queensland",13
"Albion","Queensland",13
"Newmarket","Queensland",13
"Darra - Sumner","Queensland",13
"Norman Gardens","Queensland",13
"Clinton - New Auckland","Queensland",13
"Mountain Creek","Queensland",13
"Rangeville","Queensland",13
"Belair","South Australia",13
"Hillarys","Western Australia",13
"Alkimos - Eglinton","Western Australia",13
"Seville Grove","Western Australia",13
"West Hobart","Tasmania",13
"Riverside","Tasmania",13
"Youngtown - Relbia","Tasmania",13
"Macquarie","Australian Capital Territory",13
"Taylor","Australian Capital Territory",13
"Narrabundah","Australian Capital Territory",13
"Red Hill (ACT)","Australian Capital Territory",13
"Kingston (ACT)","Australian Capital Territory",13
"Denman Prospect","Australian Capital Territory",13
"Kurrajong Heights - Ebenezer","New South Wales",12
"Campsie - North","New South Wales",12
"Harrington Park","New South Wales",12
"Blaxland - Warrimoo - Lapstone","New South Wales",12
"Emu Plains - Leonay","New South Wales",12
"Bathurst - West","New South Wales",12
"Coffs Harbour - North","New South Wales",12
"Tamworth - North","New South Wales",12
"Morisset - Cooranbong","New South Wales",12
"Mayfield - Warabrook","New South Wales",12
"Port Melbourne Industrial","Victoria",12
"Fitzroy","Victoria",12
"Elsternwick","Victoria",12
"Seabrook","Victoria",12
"Yarraville","Victoria",12
"Bendigo","Victoria",12
"Leopold","Victoria",12
"Nudgee - Banyo","Queensland",12
"Tarragindi","Queensland",12
"Alderley","Queensland",12
"Hendra","Queensland",12
"Springfield","Queensland",12
"Kanimbla - Mooroobool","Queensland",12
"Paradise Point - Hollywell","Queensland",12
"Merrimac","Queensland",12
"Mount Pleasant - Glenella","Queensland",12
"Wurtulla - Birtinya","Queensland",12
"Greenwith","South Australia",12
"Mandurah - South","Western Australia",12
"South Bunbury - Bunbury","Western Australia",12
"Claremont (Tas.)","Tasmania",12
"Taroona - Bonnet Hill","Tasmania",12
"Scullin","Australian Capital Territory",12
"Downer","Australian Capital Territory",12
"Garran","Australian Capital Territory",12
"Terrigal - North Avoca","New South Wales",11
"Umina - Booker Bay - Patonga","New South Wales",11
"Banksmeadow","New South Wales",11
"Panania (South) - Picnic Point","New South Wales",11
"Mona Vale - Warriewood (North)","New South Wales",11
"Dee Why (South) - North Curl Curl","New South Wales",11
"Googong","New South Wales",11
"Woonona - Bulli - Russell Vale","New South Wales",11
"Ballina","New South Wales",11
"Airport West","Victoria",11
"Mornington - West","Victoria",11
"Torquay","Victoria",11
"Chermside West","Queensland",11
"Eagle Farm - Pinkenba","Queensland",11
"Eagleby","Queensland",11
"Scarborough - Newport","Queensland",11
"Reedy Creek - Andrews","Queensland",11
"Ormeau (East) - Stapylton","Queensland",11
"Hackham West - Huntfield Heights","South Australia",11
"Kelmscott","Western Australia",11
"Mount Nasura - Mount Richon - Bedfordale","Western Australia",11
"East Fremantle","Western Australia",11
"Fremantle - South","Western Australia",11
"South Hobart - Fern Tree","Tasmania",11
"Legana","Tasmania",11
"Trevallyn","Tasmania",11
"Dunlop","Australian Capital Territory",11
"Lawson","Australian Capital Territory",11
"Amaroo","Australian Capital Territory",11
"Campbell","Australian Capital Territory",11
"Deakin","Australian Capital Territory",11
"Banks","Australian Capital Territory",11
"Gordon (ACT)","Australian Capital Territory",11
"Waramanga","Australian Capital Territory",11
"Isaacs","Australian Capital Territory",11
"Christmas Island","Other Territories",11
"Wamberal - Forresters Beach","New South Wales",10
"Wyong","New South Wales",10
"Marrickville - South","New South Wales",10
"South Coogee","New South Wales",10
"Oatley - Hurstville Grove","New South Wales",10
"Manly - Fairlight","New South Wales",10
"Elderslie - Narellan","New South Wales",10
"Gymea - Grays Point","New South Wales",10
"Illawong - Alfords Point","New South Wales",10
"Menai - Lucas Heights - Woronora","New South Wales",10
"Grafton Surrounds","New South Wales",10
"East Maitland - Metford","New South Wales",10
"Kiama","New South Wales",10
"Tamworth - East","New South Wales",10
"Adamstown - Kotara","New South Wales",10
"Wagga Wagga - North","New South Wales",10
"Moss Vale - Berrima","New South Wales",10
"Fitzroy North","Victoria",10
"Caulfield - South","Victoria",10
"Aspendale Gardens - Waterways","Victoria",10
"Sunbury - South","Victoria",10
"Belgrave - Selby","Victoria",10
"West Footscray - Tottenham","Victoria",10
"Tarneit - North","Victoria",10
"Baranduda - Leneva","Victoria",10
"Warragul","Victoria",10
"Traralgon - West","Victoria",10
"Mildura - South","Victoria",10
"Capalaba","Queensland",10
"Murarrie","Queensland",10
"Edens Landing - Holmview","Queensland",10
"Frenchville - Mount Archer","Queensland",10
"Molendinar","Queensland",10
"Oonoonba","Queensland",10
"No usual address (Qld)","Queensland",10
"Mount Gambier - East","South Australia",10
"Swan View - Greenmount - Midvale","Western Australia",10
"Midland - Guildford","Western Australia",10
"The Vines","Western Australia",10
"Spearwood","Western Australia",10
"Parmelia - Orelia","Western Australia",10
"Willagee","Western Australia",10
"Albany","Western Australia",10
"Old Beach - Otago","Tasmania",10
"Bellerive - Rosny","Tasmania",10
"New Town","Tasmania",10
"Nightcliff","Northern Territory",10
"Rapid Creek","Northern Territory",10
"Throsby","Australian Capital Territory",10
"Hackett","Australian Capital Territory",10
"Bonython","Australian Capital Territory",10
"Maroubra - North","New South Wales",9
"Currans Hill","New South Wales",9
"Ingleburn","New South Wales",9
"Cooma","New South Wales",9
"Orange - North","New South Wales",9
"Dubbo - East","New South Wales",9
"Albion Park - Macquarie Pass","New South Wales",9
"Forster","New South Wales",9
"Laurieton - Bonny Hills","New South Wales",9
"Port Macquarie - West","New South Wales",9
"Wendouree - Miners Rest","Victoria",9
"East Bendigo - Kennington","Victoria",9
"Echuca","Victoria",9
"Balmoral","Queensland",9
"Redcliffe","Queensland",9
"The Range - Allenstown","Queensland",9
"Tamborine - Canungra","Queensland",9
"Nerang - Mount Nathan","Queensland",9
"Upper Coomera (South) - Wongawallan","Queensland",9
"Andergrove - Beaconsfield","Queensland",9
"Meridan Plains - Little Mountain (North)","Queensland",9
"Townsville City - North Ward","Queensland",9
"Pialba - Eli Waters","Queensland",9
"No usual address (SA)","South Australia",9
"Bassendean - Eden Hill - Ashfield","Western Australia",9
"Mullaloo - Kallaroo","Western Australia",9
"Sorrento - Marmion","Western Australia",9
"Safety Bay - Shoalwater","Western Australia",9
"No usual address (WA)","Western Australia",9
"Summerhill - Prospect","Tasmania",9
"Grindelwald - Lanena","Tasmania",9
"Brinkin - Nakara","Northern Territory",9
"Lyons (NT)","Northern Territory",9
"Evatt","Australian Capital Territory",9
"Crace","Australian Capital Territory",9
"O'Connor (ACT)","Australian Capital Territory",9
"Monash","Australian Capital Territory",9
"Wanniassa","Australian Capital Territory",9
"Box Head - MacMasters Beach","New South Wales",8
"Erina - Green Point","New South Wales",8
"Gorokan - Kanwal - Charmhaven","New South Wales",8
"Sydenham - Tempe - St Peters","New South Wales",8
"Greenacre - South","New South Wales",8
"Blackheath - Megalong Valley","New South Wales",8
"Caringbah","New South Wales",8
"Cronulla - Kurnell - Bundeena","New South Wales",8
"Dubbo - South","New South Wales",8
"Dapto - Avondale","New South Wales",8
"Horsley - Kembla Grange","New South Wales",8
"Port Macquarie - South","New South Wales",8
"Albury - East","New South Wales",8
"Albury - North","New South Wales",8
"Bonnells Bay - Silverwater","New South Wales",8
"Banora Point","New South Wales",8
"Griffith (NSW)","New South Wales",8
"Wagga Wagga - East","New South Wales",8
"Wagga Wagga Surrounds","New South Wales",8
"Carrum - Patterson Lakes","Victoria",8
"Edithvale - Aspendale","Victoria",8
"Springvale South","Victoria",8
"Burnside","Victoria",8
"Warrnambool - South","Victoria",8
"Redland Bay","Queensland",8
"Northgate - Virginia","Queensland",8
"Wilston","Queensland",8
"Karalee - Barellan Point","Queensland",8
"Collingwood Park - Redbank","Queensland",8
"Crestmead","Queensland",8
"Cornubia - Carbrook","Queensland",8
"Bribie Island","Queensland",8
"Caboolture - South","Queensland",8
"Morayfield - East","Queensland",8
"Caboolture - East","Queensland",8
"Burpengary","Queensland",8
"Deception Bay","Queensland",8
"Cairns City","Queensland",8
"Kuranda","Queensland",8
"Emerald","Queensland",8
"Moranbah","Queensland",8
"Caloundra West - Baringa","Queensland",8
"Seaford Rise - Moana","South Australia",8
"Murray Bridge Surrounds","South Australia",8
"Trigg - North Beach - Watermans Bay","Western Australia",8
"Kalamunda - Maida Vale - Gooseberry Hill","Western Australia",8
"Newnham - Mayfield","Tasmania",8
"West Launceston","Tasmania",8
"Florey","Australian Capital Territory",8
"Flynn (ACT)","Australian Capital Territory",8
"Page","Australian Capital Territory",8
"Acton","Australian Capital Territory",8
"Theodore","Australian Capital Territory",8
"Tuggerah - Kangy Angy","New South Wales",7
"Chullora","New South Wales",7
"Roselands","New South Wales",7
"Narwee - Beverly Hills","New South Wales",7
"Camden - Ellis Lane","New South Wales",7
"The Oaks - Oakdale","New South Wales",7
"Springwood - Winmalee","New South Wales",7
"Yarramundi - Londonderry","New South Wales",7
"Orange Surrounds","New South Wales",7
"Wellington","New South Wales",7
"Williamtown - Medowie - Karuah","New South Wales",7
"Shellharbour - Oak Flats","New South Wales",7
"Forster-Tuncurry Surrounds","New South Wales",7
"Albury - South","New South Wales",7
"Lavington","New South Wales",7
"Tamworth Surrounds","New South Wales",7
"Goonellabah","New South Wales",7
"Murrumbeena","Victoria",7
"Gowanbrae","Victoria",7
"Sunbury - West","Victoria",7
"Mount Dandenong - Olinda","Victoria",7
"Mount Evelyn","Victoria",7
"Pakenham - North West","Victoria",7
"California Gully - Eaglehawk","Victoria",7
"Drouin","Victoria",7
"Goodna","Queensland",7
"Beenleigh","Queensland",7
"Hillcrest","Queensland",7
"Yarrabilba","Queensland",7
"Loganholme - Tanah Merah","Queensland",7
"Daisy Hill","Queensland",7
"Woodford - D'Aguilar","Queensland",7
"Narangba","Queensland",7
"Bray Park","Queensland",7
"Lawnton","Queensland",7
"Gladstone","Queensland",7
"West Gladstone","Queensland",7
"Bli Bli","Queensland",7
"Toowoomba - West","Queensland",7
"Charters Towers","Queensland",7
"Mount Barker Surrounds","South Australia",7
"Murray Bridge","South Australia",7
"Glen Forrest - Darlington","Western Australia",7
"Camillo - Champion Lakes","Western Australia",7
"Yangebup","Western Australia",7
"Cooloongup","Western Australia",7
"Warnbro","Western Australia",7
"College Grove - Carey Park","Western Australia",7
"Port Hedland","Western Australia",7
"West Moonah","Tasmania",7
"Norwood (Tas.)","Tasmania",7
"Parap","Northern Territory",7
"Latham","Australian Capital Territory",7
"Weetangera","Australian Capital Territory",7
"Ainslie","Australian Capital Territory",7
"Chisholm","Australian Capital Territory",7
"Fadden","Australian Capital Territory",7
"Holder","Australian Capital Territory",7
"Rivett","Australian Capital Territory",7
"Curtin","Australian Capital Territory",7
"Kincumber - Picketts Valley","New South Wales",6
"Narara","New South Wales",6
"Niagara Park - Lisarow","New South Wales",6
"Woy Woy - Blackwall","New South Wales",6
"Bilpin - Colo - St Albans","New South Wales",6
"Campsie - South","New South Wales",6
"Avalon - Palm Beach","New South Wales",6
"Jindabyne - Berridale","New South Wales",6
"Yass Surrounds","New South Wales",6
"Lithgow","New South Wales",6
"Grafton","New South Wales",6
"Coffs Harbour - South","New South Wales",6
"Thirroul - Austinmer - Coalcliff","New South Wales",6
"Ulladulla","New South Wales",6
"Monbulk - Silvan","Victoria",6
"Bacchus Marsh","Victoria",6
"Cobblebank - Strathtulloh","Victoria",6
"Seaford (Vic.)","Victoria",6
"Mornington - East","Victoria",6
"Delacombe","Victoria",6
"Castlemaine","Victoria",6
"Ocean Grove","Victoria",6
"Benalla","Victoria",6
"Phillip Island","Victoria",6
"Swan Hill Surrounds","Victoria",6
"Hawthorne","Queensland",6
"Wacol","Queensland",6
"Bellbird Park","Queensland",6
"Samford Valley","Queensland",6
"Atherton","Queensland",6
"Caloundra - Kings Beach","Queensland",6
"Landsborough","Queensland",6
"North Toowoomba - Harlaxton","Queensland",6
"Bohle Plains","Queensland",6
"Urangan - Wondunna","Queensland",6
"Aldgate - Stirling","South Australia",6
"Victor Harbor","South Australia",6
"High Wycombe","Western Australia",6
"Collie","Western Australia",6
"Ashburton (WA)","Western Australia",6
"Geraldton - South","Western Australia",6
"Fannie Bay - The Gardens","Northern Territory",6
"Berrimah","Northern Territory",6
"Strathnairn","Australian Capital Territory",6
"Forde","Australian Capital Territory",6
"Duffy","Australian Capital Territory",6
"Mawson","Australian Capital Territory",6
"Point Clare - Koolewong","New South Wales",5
"Bateau Bay - Killarney Vale","New South Wales",5
"Picton - Tahmoor - Buxton","New South Wales",5
"Lawson - Hazelbrook - Linden","New South Wales",5
"Engadine","New South Wales",5
"Karabar","New South Wales",5
"Dubbo - West","New South Wales",5
"Maitland","New South Wales",5
"Kempsey","New South Wales",5
"Belmont - Bennetts Green","New South Wales",5
"Ballina Surrounds","New South Wales",5
"Byron Bay","New South Wales",5
"Mullumbimby","New South Wales",5
"Hurstbridge","Victoria",5
"Kinglake","Victoria",5
"Research - North Warrandyte","Victoria",5
"Clarinda - Oakleigh South","Victoria",5
"Smythes Creek","Victoria",5
"Ballarat North - Invermay","Victoria",5
"Flora Hill - Spring Gully","Victoria",5
"Bairnsdale","Victoria",5
"Ararat","Victoria",5
"Colac","Victoria",5
"Moyne - West","Victoria",5
"Victoria Point","Queensland",5
"Brighton (Qld)","Queensland",5
"Red Hill (Qld)","Queensland",5
"Ipswich - North","Queensland",5
"Ripley","Queensland",5
"Jimboomba - Glenlogan","Queensland",5
"Petrie","Queensland",5
"Redlynch","Queensland",5
"Currumbin - Tugun","Queensland",5
"Mackay","Queensland",5
"Buddina - Minyama","Queensland",5
"Mooloolaba - Alexandra Headland","Queensland",5
"Noosa Heads","Queensland",5
"Gatton","Queensland",5
"Highfields","Queensland",5
"Lockyer Valley - West","Queensland",5
"South Townsville - Railway Estate","Queensland",5
"Townsville - South","Queensland",5
"Burdell - Mount Low","Queensland",5
"Kingaroy","Queensland",5
"Christies Beach","South Australia",5
"Coromandel Valley","South Australia",5
"Roleystone","Western Australia",5
"Lesmurdie - Bickley - Carmel","Western Australia",5
"East Bunbury - Glen Iris","Western Australia",5
"Dalyellup","Western Australia",5
"Katanning","Western Australia",5
"East Pilbara","Western Australia",5
"Karratha","Western Australia",5
"Esperance Surrounds","Western Australia",5
"Howrah - Tranmere","Tasmania",5
"Invermay","Tasmania",5
"Parklands - Camdale","Tasmania",5
"West Ulverstone","Tasmania",5
"Malak - Marrara","Northern Territory",5
"Howard Springs","Northern Territory",5
"Budgewoi - Buff Point - Halekulani","New South Wales",4
"Lake Munmorah - Mannering Park","New South Wales",4
"Kingsgrove - North","New South Wales",4
"Erskine Park","New South Wales",4
"Caringbah South","New South Wales",4
"Lilli Pilli - Port Hacking - Dolans Bay","New South Wales",4
"Woolooware - Burraneer","New South Wales",4
"Bega - Tathra","New South Wales",4
"Young","New South Wales",4
"Bathurst - East","New South Wales",4
"Parkes (NSW)","New South Wales",4
"Orange","New South Wales",4
"Cessnock Surrounds","New South Wales",4
"Rutherford (North) - Aberglasslyn","New South Wales",4
"Nelson Bay Peninsula","New South Wales",4
"Kiama Hinterland - Gerringong","New South Wales",4
"Helensburgh","New South Wales",4
"Tuncurry","New South Wales",4
"Old Bar - Manning Point - Red Head","New South Wales",4
"Valentine - Eleebana","New South Wales",4
"Toronto - Awaba","New South Wales",4
"Lismore","New South Wales",4
"Narrandera","New South Wales",4
"Tumbarumba","New South Wales",4
"Tumut","New South Wales",4
"Sunbury","Victoria",4
"Diggers Rest","Victoria",4
"Montrose","Victoria",4
"Langwarrin","Victoria",4
"Bacchus Marsh Surrounds","Victoria",4
"Newcomb - Moolap","Victoria",4
"Clifton Springs","Victoria",4
"Towong","Victoria",4
"Traralgon - East","Victoria",4
"Sale","Victoria",4
"Swan Hill","Victoria",4
"Southern Moreton Bay Islands","Queensland",4
"Boonah","Queensland",4
"Riverview","Queensland",4
"Greenbank - North Maclean","Queensland",4
"Margate - Woody Point","Queensland",4
"Rothwell - Kippa-Ring","Queensland",4
"Clifton Beach - Kewarra Beach","Queensland",4
"Whitfield - Edge Hill","Queensland",4
"Elanora","Queensland",4
"Palm Beach","Queensland",4
"Mudgeeraba - Bonogin","Queensland",4
"Worongary - Tallai","Queensland",4
"Sarina","Queensland",4
"Airlie - Whitsundays","Queensland",4
"Golden Beach - Pelican Waters","Queensland",4
"Parrearra - Warana","Queensland",4
"Toowoomba - East","Queensland",4
"Wilsonton","Queensland",4
"Hermit Park - Rosslea","Queensland",4
"Millbank - Avoca","Queensland",4
"Clarendon","South Australia",4
"North Haven","South Australia",4
"West Beach","South Australia",4
"Mallala","South Australia",4
"Whyalla","South Australia",4
"Naracoorte","South Australia",4
"Waikerie","South Australia",4
"Mandurah","Western Australia",4
"Chidlow","Western Australia",4
"Perth Airport","Western Australia",4
"Withers - Usher","Western Australia",4
"Little Grove - Elleker","Western Australia",4
"Esperance","Western Australia",4
"Carnarvon","Western Australia",4
"Leinster - Leonora","Western Australia",4
"Austins Ferry - Granton","Tasmania",4
"Derwent Park - Lutana","Tasmania",4
"Montrose - Rosetta","Tasmania",4
"Devonport","Tasmania",4
"Darwin Airport","Northern Territory",4
"Gray","Northern Territory",4
"Palmerston - South","Northern Territory",4
"Charnwood","Australian Capital Territory",4
"Hawker","Australian Capital Territory",4
"Nicholls","Australian Capital Territory",4
"Dickson","Australian Capital Territory",4
"Forrest","Australian Capital Territory",4
"Yarralumla","Australian Capital Territory",4
"Fisher","Australian Capital Territory",4
"Stirling","Australian Capital Territory",4
"Lyons (ACT)","Australian Capital Territory",4
"O'Malley","Australian Capital Territory",4
"No usual address (ACT)","Australian Capital Territory",4
"Pitt Town - McGraths Hill","New South Wales",3
"Hurstville - North","New South Wales",3
"Strathfield South","New South Wales",3
"Katoomba - Leura","New South Wales",3
"Warragamba - Silverdale","New South Wales",3
"Cobbitty - Bringelly","New South Wales",3
"Heathcote - Waterfall","New South Wales",3
"Loftus - Yarrawarrah","New South Wales",3
"Woronora Heights","New South Wales",3
"Braidwood","New South Wales",3
"Queanbeyan Surrounds","New South Wales",3
"Merimbula - Tura Beach","New South Wales",3
"Oberon","New South Wales",3
"Blayney","New South Wales",3
"Broken Hill","New South Wales",3
"Cessnock","New South Wales",3
"Warilla","New South Wales",3
"Wauchope","New South Wales",3
"Port Macquarie - East","New South Wales",3
"Taree Surrounds","New South Wales",3
"Mount Hutton - Windale","New South Wales",3
"Warners Bay - Boolaroo","New South Wales",3
"Bolton Point - Teralba","New South Wales",3
"West Wallsend - Barnsley - Killingworth","New South Wales",3
"Wickham - Carrington - Tighes Hill","New South Wales",3
"Bangalow","New South Wales",3
"Lismore Surrounds","New South Wales",3
"Kingscliff - Fingal Head","New South Wales",3
