"year","iran_born"
2000,51101
2001,51844
2002,52721
2003,53241
2004,53982
2005,54470
2006,55747
2007,56516
2008,57663
2009,59922
2010,62120
2011,63828
2012,65649
2013,67211
2014,68436
2015,69067
2016,70637
2017,74096
2018,77386
2019,80136
2020,81301
2021,83122
2022,85488
2023,86838
2024,87115
