"year","gen1","gen2","total"
2018,77386,39270,116656
2019,80136,40883,121019
2020,81301,42345,123646
2021,83122,43860,126982
2022,85488,45143,130631
2023,86838,46351,133189
2024,87115,47406,134521
2025,87292,48412,135704
