"year","iran_born"
2002,7197
2003,7153
2004,7691
2005,8028
2006,8349
2007,8501
2008,8958
2009,9480
2010,9834
2011,10285
2012,10654
2013,11687
2014,12828
2015,13562
2016,14817
2017,15493
2018,16251
2019,17613
2020,18714
2021,19981
2022,19920
2023,22627
2024,26415
2025,30532
