"county_code","county_name","count"
"03","Oslo - Oslove",6958
"32","Akershus",6836
"11","Rogaland",2001
"31","Østfold",1708
"33","Buskerud",1663
"46","Vestland",1503
"50","Trøndelag - Trööndelage",1435
"42","Agder",1105
"34","Innlandet",1070
"39","Vestfold",711
"40","Telemark",667
"15","Møre og Romsdal",324
"55","Troms - Romsa - Tromssa",253
"18","Nordland - Nordlánnda",225
"56","Finnmark - Finnmárku - Finmarkku",38
