"year","gen1","gen2","total"
2010,13508,2813,16321
2011,14007,2950,16957
2012,14795,3118,17913
2013,15557,3304,18861
2014,16294,3499,19793
2015,16608,3712,20320
2016,16462,3999,20461
2017,17169,4195,21364
2018,17728,4422,22150
2019,18075,4625,22700
2020,18487,4844,23331
2021,18748,5017,23765
2022,19297,5201,24498
2023,19975,5336,25311
2024,20333,5499,25832
2025,20520,5676,26196
2026,20650,5847,26497
