"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_COB_58","C2021_COB_58_NAME","C2021_COB_58_CODE","C2021_COB_58_TYPE","C2021_COB_58_TYPECODE","C2021_COB_58_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"650117141","Bury","E08000002","2022 local authorities: counties",155,20,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",819,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117141d31d20100",20,174
"2021","2021","2021","date",0,0,"650117142","Manchester","E08000003","2022 local authorities: counties",155,21,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",2759,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117142d31d20100",21,174
"2021","2021","2021","date",0,0,"650117143","Oldham","E08000004","2022 local authorities: counties",155,22,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",241,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117143d31d20100",22,174
"2021","2021","2021","date",0,0,"650117144","Rochdale","E08000005","2022 local authorities: counties",155,23,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",399,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117144d31d20100",23,174
"2021","2021","2021","date",0,0,"650117145","Salford","E08000006","2022 local authorities: counties",155,24,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",1491,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117145d31d20100",24,174
"2021","2021","2021","date",0,0,"650117146","Stockport","E08000007","2022 local authorities: counties",155,25,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",1917,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117146d31d20100",25,174
"2021","2021","2021","date",0,0,"650117147","Tameside","E08000008","2022 local authorities: counties",155,26,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",332,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117147d31d20100",26,174
"2021","2021","2021","date",0,0,"650117148","Trafford","E08000009","2022 local authorities: counties",155,27,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",879,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117148d31d20100",27,174
"2021","2021","2021","date",0,0,"650117149","Wigan","E08000010","2022 local authorities: counties",155,28,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",569,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117149d31d20100",28,174
"2021","2021","2021","date",0,0,"650117150","Lancashire","E10000017","2022 local authorities: counties",155,29,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",688,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117150d31d20100",29,174
"2021","2021","2021","date",0,0,"650117151","Knowsley","E08000011","2022 local authorities: counties",155,30,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",97,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117151d31d20100",30,174
"2021","2021","2021","date",0,0,"650117152","Liverpool","E08000012","2022 local authorities: counties",155,31,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",1927,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117152d31d20100",31,174
"2021","2021","2021","date",0,0,"650117153","Sefton","E08000014","2022 local authorities: counties",155,32,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",179,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117153d31d20100",32,174
"2021","2021","2021","date",0,0,"650117154","St. Helens","E08000013","2022 local authorities: counties",155,33,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",94,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117154d31d20100",33,174
"2021","2021","2021","date",0,0,"650117155","Wirral","E08000015","2022 local authorities: counties",155,34,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",199,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117155d31d20100",34,174
"2021","2021","2021","date",0,0,"650117156","East Riding of Yorkshire","E06000011","2022 local authorities: counties",155,35,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",127,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117156d31d20100",35,174
"2021","2021","2021","date",0,0,"650117157","Kingston upon Hull, City of","E06000010","2022 local authorities: counties",155,36,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",438,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117157d31d20100",36,174
"2021","2021","2021","date",0,0,"650117158","North East Lincolnshire","E06000012","2022 local authorities: counties",155,37,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",47,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117158d31d20100",37,174
"2021","2021","2021","date",0,0,"650117159","North Lincolnshire","E06000013","2022 local authorities: counties",155,38,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",37,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117159d31d20100",38,174
"2021","2021","2021","date",0,0,"650117160","York","E06000014","2022 local authorities: counties",155,39,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",95,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117160d31d20100",39,174
"2021","2021","2021","date",0,0,"650117161","North Yorkshire","E10000023","2022 local authorities: counties",155,40,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",215,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117161d31d20100",40,174
"2021","2021","2021","date",0,0,"650117162","Barnsley","E08000016","2022 local authorities: counties",155,41,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",260,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117162d31d20100",41,174
"2021","2021","2021","date",0,0,"650117163","Doncaster","E08000017","2022 local authorities: counties",155,42,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",355,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117163d31d20100",42,174
"2021","2021","2021","date",0,0,"650117164","Rotherham","E08000018","2022 local authorities: counties",155,43,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",257,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117164d31d20100",43,174
"2021","2021","2021","date",0,0,"650117165","Sheffield","E08000019","2022 local authorities: counties",155,44,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",1837,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117165d31d20100",44,174
"2021","2021","2021","date",0,0,"650117166","Bradford","E08000032","2022 local authorities: counties",155,45,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",632,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117166d31d20100",45,174
"2021","2021","2021","date",0,0,"650117167","Calderdale","E08000033","2022 local authorities: counties",155,46,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",194,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117167d31d20100",46,174
"2021","2021","2021","date",0,0,"650117168","Kirklees","E08000034","2022 local authorities: counties",155,47,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",707,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117168d31d20100",47,174
"2021","2021","2021","date",0,0,"650117169","Leeds","E08000035","2022 local authorities: counties",155,48,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",2961,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117169d31d20100",48,174
"2021","2021","2021","date",0,0,"650117170","Wakefield","E08000036","2022 local authorities: counties",155,49,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",421,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117170d31d20100",49,174
"2021","2021","2021","date",0,0,"650117171","Derby","E06000015","2022 local authorities: counties",155,50,"31","Middle East and Asia: Middle East: Iran","_31","Country of birth",1000000,0,"20100","Value",451,"A","Normal Value","F","Free (free for publication)","Nm-2032d1d32336e0d650117171d31d20100",50,174
