immigration_period,n_unweighted_total,reliability,Quebec,Ontario,British Columbia,Alberta,Manitoba,Saskatchewan,New Brunswick,Newfoundland,Nova Scotia,PEI
1980-1990 (Revolution & War),1,Suppress,37.0500735786541,0,0,0,0,0,0,0,0,0
1991-2000 (Post-War),2,Suppress,0,74.0757082639394,0,0,0,0,0,0,0,0
2001-2005,11,Use with caution,74.1001471573082,259.2649789237879,74.0726270032422,0,0,0,0,0,0,0
2006-2010,13,Use with caution,74.1001471573082,259.2649789237879,111.10894050486331,37.0109055795681,0,0,0,0,0,0
2011-2015,32,Reliable,148.2002943146164,629.6435202434848,407.3994485178322,0,0,0,0,0,0,0
2016-2021 (Recent),129,Reliable,666.9013244157737,2666.725497501816,1185.1620320518753,185.0545278978405,37.0192574551836,37.067434984,0,0,0,0
Before 1980 (Pre-Revolution),1,Suppress,0,37.0378541319697,0,0,0,0,0,0,0,0
Unknown,4388,Reliable,18006.335759225887,95002.09584850249,40591.799597776604,7291.148399174946,703.3658916484884,296.53947987199996,37.0122367394665,37.0497343565481,518.883210546712,36.919038272816
