"year","iran_born"
1968,1900
1975,3400
1982,11000
1990,17100
1999,17100
2006,19000
2007,19500
2008,19500
2009,19300
2010,19500
2011,19600
2012,19500
2013,19800
2014,20000
2015,20300
2016,20600
2017,21300
2018,22000
2019,23800
