"bucket","value_k","suppressed","low_rel"
"under_5",63,FALSE,FALSE
"5_to_10",60,FALSE,FALSE
"10_to_15",54,FALSE,FALSE
"15_to_20",8,FALSE,TRUE
"20_to_25",9,FALSE,TRUE
"25_to_30",12,FALSE,FALSE
"30_to_40",36,FALSE,FALSE
"40_plus",26,FALSE,FALSE
