"year","iran_born"
1990,7699
1995,9336
2000,11197
2002,11262
2003,11522
2004,11741
2005,11880
2006,12023
2007,12412
2008,12869
2009,12897
2010,13087
2011,13278
2012,13468
2013,14822
2014,15585
2015,16203
2016,19796
2017,22379
2018,23067
2019,24044
2020,24733
2021,25108
2022,25861
2023,27313
2024,29364
2025,31135
