SERIALNO,POBP,ANC1P,ANC2P,RAC1P,HISP,SEX,AGEP,PWGTP,POBP_SP,ANC1P_SP,ANC2P_SP,RAC1P_SP,HISP_SP,RELSHIPP_SP,gen,gender,partnership_type,age_group,spouse_iran,spouse_mena,spouse_white,spouse_hsp,spouse,PERWT,AGE,BPL,ANCESTR1,ANCESTR2,RACE,HISPAN,BPL_SP,ANCESTR1_SP,ANCESTR2_SP,RACE_SP,HISPAN_SP
2024HU0765751,5,416,939,1,1,1,33,30,5,939,999,1,1,21,2nd gen,Male,Married,30-39,No,No,Yes,No,Other White,30,33,5,416,939,1,1,5,939,999,1,1
2022HU0574190,212,999,999,1,1,1,29,18,22,999,999,1,1,21,1st gen,Male,Married,20-29,No,No,Yes,No,Other White,18,29,212,999,999,1,1,22,999,999,1,1
2022HU1056466,212,825,999,7,1,1,43,68,116,825,999,7,1,22,1st gen,Male,Unmarried partner,40-49,No,No,No,No,Other,68,43,212,825,999,7,1,116,825,999,7,1
2022HU1268108,5,939,416,1,1,2,47,8,5,939,999,1,1,22,2nd gen,Female,Unmarried partner,40-49,No,No,Yes,No,Other White,8,47,5,939,416,1,1,5,939,999,1,1
2022HU1430399,47,50,416,1,1,1,37,24,5,32,999,1,1,22,2nd gen,Male,Unmarried partner,30-39,No,No,Yes,No,Other White,24,37,47,50,416,1,1,5,32,999,1,1
2023HU0176949,6,416,32,1,1,1,28,29,5,261,239,1,21,21,2nd gen,Male,Married,20-29,No,No,No,Yes,Hispanic,29,28,6,416,32,1,1,5,261,239,1,21
2020HU0070329,212,999,999,1,1,1,40,99,6,999,999,1,1,21,1st gen,Male,Married,40-49,No,No,Yes,No,Other White,99,40,212,999,999,1,1,6,999,999,1,1
2020HU0077791,212,416,999,1,1,1,57,28,212,416,999,1,1,21,1st gen,Male,Married,50-59,Yes,Yes,Yes,No,Iranian,28,57,212,416,999,1,1,212,416,999,1,1
2020HU0167974,212,483,999,1,1,1,29,58,126,483,999,1,1,21,1st gen,Male,Married,20-29,No,Yes,Yes,No,Other MENA,58,29,212,483,999,1,1,126,483,999,1,1
2020HU0182510,212,416,999,9,1,1,33,157,212,416,999,9,1,21,1st gen,Male,Married,30-39,Yes,Yes,No,No,Iranian,157,33,212,416,999,9,1,212,416,999,9,1
2020HU0190947,212,416,999,1,1,1,48,50,212,416,999,1,1,21,1st gen,Male,Married,40-49,Yes,Yes,Yes,No,Iranian,50,48,212,416,999,1,1,212,416,999,1,1
