YEAR,SERIAL,HHWT,STATEFIP,HHINCOME,PERWT,SEX,AGE,BPL,ANCESTR1,ANCESTR2,CITIZEN,YRIMMIG,SCHL,EMPSTAT,CLASSWKR,OCC,WKHP,INCTOT,INCWAGE,POVERTY,REGION,PUMA,educ_factor,age,gender,bpl,gen,class_wkrd,emp_stat,CITIZEN2,born_in_iran,any_iranian_anc,generation,is_child_of_iranian
2024,2024HU0623871,64,6,55000,51,1,7,6,924,999,1,1937,6,0,0,N,0,-19999,-1,100,4,07111,Less than high school,7,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0623871,64,6,55000,62,2,1,6,903,999,1,1937,0,0,0,N,0,-19999,-1,100,4,07111,No schooling or N/A,1,Female,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0624036,9,6,31100,9,2,40,212,431,999,4,2016,20,1,3,3602,10,1100,1100,124,4,03706,Some college,40,Female,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0624036,9,6,31100,9,1,45,212,431,999,4,2016,21,1,1,9142,20,30000,30000,124,4,03706,Bachelors degree,45,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0624036,9,6,31100,11,1,11,212,431,999,4,2016,8,0,0,N,0,-19999,-1,124,4,03706,Less than high school,11,Male,212,1st gen,N/A,N/A,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0625477,39,6,51600,39,1,68,212,416,999,3,1978,19,1,1,2633,20,51600,50000,346,4,03758,Some college,68,Male,212,1st gen,Private sector employee,Employed,US-born,TRUE,TRUE,First generation,FALSE
2024,2024HU0625655,15,6,35000,14,2,44,212,416,999,4,2016,16,6,0,N,0,0,0,111,4,09902,High school degree,44,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0625655,15,6,35000,9,1,50,212,416,999,4,2016,16,1,1,8140,32,35000,35000,111,4,09902,High school degree,50,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0625655,15,6,35000,17,1,5,6,416,999,1,1937,3,0,0,N,0,-19999,-1,111,4,09902,Less than high school,5,Male,6,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0625655,15,6,35000,11,1,2,6,416,999,1,1937,0,0,0,N,0,-19999,-1,111,4,09902,No schooling or N/A,2,Male,6,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0628244,9,6,240000,9,1,37,212,416,999,4,2011,24,1,4,2205,40,240000,230000,501,4,08303,Graduate degree,37,Male,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0628244,9,6,240000,6,2,30,212,416,999,5,2024,23,6,0,N,0,0,0,501,4,08303,Graduate degree,30,Female,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0628664,13,6,165250,12,2,66,139,416,999,4,1976,19,1,7,5120,45,115000,90000,501,4,03774,Some college,66,Female,139,2nd gen,Self-employed,Employed,Naturalized citizen,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0629144,11,6,24200,10,1,82,212,483,999,4,2003,9,6,0,N,0,12100,0,128,4,09903,Less than high school,82,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0629144,11,6,24200,7,2,77,212,483,999,4,2001,9,6,0,N,0,12100,0,128,4,09903,Less than high school,77,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0629874,47,6,23800,47,2,73,212,431,999,4,2008,9,6,0,N,0,11900,0,127,4,03719,Less than high school,73,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0629874,47,6,23800,43,1,78,212,431,999,4,2008,9,6,0,N,0,11900,0,127,4,03719,Less than high school,78,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0631476,66,6,108000,66,2,29,212,416,999,5,2019,22,1,1,1360,40,100000,100000,501,4,03725,Graduate degree,29,Female,212,1st gen,Private sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0631476,66,6,108000,77,2,23,212,416,999,5,2021,16,1,1,5740,20,8000,8000,501,4,03725,High school degree,23,Female,212,1st gen,Private sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0632168,45,6,0,45,1,40,212,416,999,5,2023,23,6,0,N,0,0,0,0,4,03721,Graduate degree,40,Male,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0632168,45,6,0,45,2,40,212,416,999,5,2023,23,6,0,N,0,0,0,0,4,03721,Graduate degree,40,Female,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0632168,45,6,0,48,1,4,301,416,999,5,2023,1,0,0,N,0,-19999,-1,0,4,03721,Less than high school,4,Male,301,2nd gen,N/A,N/A,Not a citizen,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0633882,11,6,145000,12,1,57,212,431,999,4,2004,18,6,6,1545,60,100000,0,501,4,05919,Some college,57,Male,212,1st gen,Self-employed,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0633882,11,6,145000,11,1,15,6,431,999,1,1937,12,0,0,N,0,0,0,501,4,05919,Some high school,15,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0635789,22,6,368100,22,1,39,212,416,999,4,2010,24,1,4,2205,40,118100,125000,501,4,03728,Graduate degree,39,Male,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0635789,22,6,368100,19,2,38,212,416,999,4,2010,24,1,1,0010,40,250000,250000,501,4,03728,Graduate degree,38,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0636020,11,6,94900,11,2,55,212,999,999,3,1973,22,1,2,0726,45,90000,90000,501,4,03719,Graduate degree,55,Female,212,1st gen,Non-profit employee,Employed,US-born,TRUE,FALSE,First generation,FALSE
2024,2024HU0636800,14,6,196000,12,1,33,212,416,999,4,2009,21,1,1,1240,40,69000,67000,501,4,05907,Bachelors degree,33,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0637485,10,6,233000,10,1,46,6,416,999,1,1937,21,1,1,1530,40,233000,200000,501,4,08508,Bachelors degree,46,Male,6,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0638598,11,6,83000,11,1,71,212,416,999,4,1995,21,6,5,2360,0,18000,0,446,4,07326,Bachelors degree,71,Male,212,1st gen,Public sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0640614,25,6,221000,25,1,58,212,431,999,4,2007,23,1,1,1530,40,200000,200000,501,4,03706,Graduate degree,58,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0640614,25,6,221000,36,1,3,6,431,999,1,1937,1,0,0,N,0,-19999,-1,501,4,03706,Less than high school,3,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0640614,25,6,221000,25,1,39,212,431,999,4,2009,21,1,6,1108,40,9000,0,501,4,03706,Bachelors degree,39,Male,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0640614,25,6,221000,23,2,76,212,431,999,4,2008,16,6,0,N,0,12000,0,501,4,03706,High school degree,76,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0641067,11,6,103500,11,2,67,212,416,999,4,2005,21,6,4,2330,15,84000,70000,501,4,05923,Bachelors degree,67,Female,212,1st gen,Public sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0641067,11,6,103500,14,1,35,109,416,195,4,2005,15,6,0,N,0,19500,0,501,4,05923,Some high school,35,Male,109,2nd gen,N/A,Not in labor force,Naturalized citizen,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0641132,96,6,60000,96,1,26,212,483,999,4,2011,19,1,6,9610,40,20000,0,124,4,09904,Some college,26,Male,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0641633,10,6,252000,9,2,49,212,431,999,4,1987,22,3,7,2920,60,152000,150000,501,4,03735,Graduate degree,49,Female,212,1st gen,Self-employed,Unemployed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0641633,10,6,252000,11,1,8,6,939,431,1,1937,4,0,0,N,0,-19999,-1,476,4,03735,Less than high school,8,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0644613,70,6,57600,73,2,72,212,416,431,4,1994,19,1,1,4510,32,37600,20000,307,4,03721,Some college,72,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0646129,14,6,54000,14,2,63,212,998,416,4,1964,21,3,9,9920,0,4000,0,258,4,03731,Bachelors degree,63,Female,212,1st gen,N/A,Unemployed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0646129,14,6,54000,11,1,26,6,210,416,1,1937,21,3,1,0440,60,50000,50000,258,4,03731,Bachelors degree,26,Male,6,2nd gen,Private sector employee,Unemployed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0646391,14,6,161000,14,2,35,6,416,999,1,1937,22,1,2,5240,40,100000,100000,501,4,03775,Graduate degree,35,Female,6,2nd gen,Non-profit employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0646391,14,6,161000,13,2,33,6,416,999,1,1937,20,1,1,4510,30,45000,45000,501,4,03775,Some college,33,Female,6,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0646391,14,6,161000,13,2,69,6,416,999,1,1937,20,6,1,0800,0,16000,0,501,4,03775,Some college,69,Female,6,2nd gen,Private sector employee,Not in labor force,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0646770,11,6,121000,11,2,41,212,416,999,5,2013,21,1,1,2861,40,30000,30000,501,4,03775,Bachelors degree,41,Female,212,1st gen,Private sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0647542,33,6,65000,33,2,47,212,431,999,4,2007,19,3,3,3602,30,5000,2000,203,4,01904,Some college,47,Female,212,1st gen,Public sector employee,Unemployed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0647542,33,6,65000,33,1,53,212,431,999,4,1994,16,1,1,9130,40,20000,20000,203,4,01904,High school degree,53,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0647542,33,6,65000,40,1,26,212,431,999,4,2000,16,1,1,9142,30,15000,15000,203,4,01904,High school degree,26,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0647542,33,6,65000,31,2,20,6,431,999,1,1937,19,1,1,5860,30,25000,25000,203,4,01904,Some college,20,Female,6,2nd gen,Private sector employee,Employed,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0648189,56,6,0,56,1,44,212,416,999,5,2022,23,6,2,2205,0,0,0,0,4,07312,Graduate degree,44,Male,212,1st gen,Non-profit employee,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0648189,56,6,0,59,2,44,212,416,999,5,2023,23,6,0,N,0,0,0,0,4,07312,Graduate degree,44,Female,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0651714,41,6,628400,42,2,58,212,416,999,4,1995,24,1,1,3090,40,240000,240000,501,4,06521,Graduate degree,58,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0651714,41,6,628400,37,1,64,212,416,999,4,2000,19,1,6,0310,30,380000,0,501,4,06521,Some college,64,Male,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0651714,41,6,628400,47,2,89,212,416,999,4,2000,9,6,0,N,0,8400,0,501,4,06521,Less than high school,89,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0652477,11,6,190000,11,2,90,212,999,999,4,1965,15,6,0,N,0,140000,0,501,4,05906,Some high school,90,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0652477,11,6,190000,12,2,55,212,999,999,4,1985,16,1,2,5740,40,50000,50000,501,4,05906,High school degree,55,Female,212,1st gen,Non-profit employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0652477,11,6,190000,11,1,17,6,999,999,1,1937,14,6,0,N,0,0,0,501,4,05906,Some high school,17,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0653486,17,6,104000,13,1,35,212,431,999,4,2014,21,1,7,0440,40,70000,70000,430,4,03720,Bachelors degree,35,Male,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0654524,30,6,400000,37,1,61,6,416,999,1,1937,23,1,7,3010,40,280000,280000,501,4,11109,Graduate degree,61,Male,6,2nd gen,Self-employed,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0656358,8,6,149520,8,1,73,212,431,999,4,2002,19,1,3,0800,40,92620,92000,501,4,03706,Some college,73,Male,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0656358,8,6,149520,8,2,65,212,431,999,4,2002,19,1,3,5740,40,6900,6900,501,4,03706,Some college,65,Female,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0656358,8,6,149520,8,1,37,212,431,999,4,2002,20,1,3,5120,40,50000,50000,501,4,03706,Some college,37,Male,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0656596,11,6,63500,10,1,79,212,416,999,4,1986,22,6,0,N,0,63500,0,341,4,05921,Graduate degree,79,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0656596,11,6,63500,10,2,77,212,416,999,4,1986,16,6,0,N,0,0,0,341,4,05921,High school degree,77,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0657232,15,6,36100,15,1,68,212,416,999,4,1999,16,6,1,7750,0,19000,0,194,4,04702,High school degree,68,Male,212,1st gen,Private sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0657232,15,6,36100,9,2,69,212,416,999,4,1999,16,6,1,3603,0,17100,0,194,4,04702,High school degree,69,Female,212,1st gen,Private sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0658234,20,6,454900,20,1,77,212,416,999,4,1989,21,6,0,N,0,402700,0,501,4,05925,Bachelors degree,77,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0658234,20,6,454900,20,2,70,212,416,999,4,1989,16,6,0,N,0,-2900,0,501,4,05925,High school degree,70,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0658234,20,6,454900,20,1,46,212,416,999,4,1989,21,6,0,N,0,55100,0,501,4,05925,Bachelors degree,46,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0661112,30,6,266000,24,1,27,6,416,999,1,1937,21,1,1,4760,40,137000,137000,501,4,07316,Bachelors degree,27,Male,6,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0661762,69,6,325000,72,1,20,6,32,22,1,1937,19,6,0,N,0,0,0,501,4,05921,Some college,20,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0661762,69,6,325000,68,1,19,6,32,22,1,1937,19,6,0,N,0,0,0,501,4,05921,Some college,19,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0661762,69,6,325000,79,1,17,6,32,22,1,1937,13,6,0,N,0,0,0,501,4,05921,Some high school,17,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0661762,69,6,325000,69,1,14,6,32,22,1,1937,10,0,0,N,0,-19999,-1,501,4,05921,Less than high school,14,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0661762,69,6,325000,52,1,20,6,290,416,1,1937,19,6,0,N,0,0,0,0,4,05921,Some college,20,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0664050,10,6,29500,10,1,60,212,431,999,4,1990,16,1,1,9130,20,17000,17000,118,4,03719,High school degree,60,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0664050,10,6,29500,9,2,60,212,431,999,5,2004,16,6,0,N,0,0,0,118,4,03719,High school degree,60,Female,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0664050,10,6,29500,11,1,17,6,431,999,1,1937,16,6,0,N,0,12500,0,118,4,03719,High school degree,17,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0665328,14,6,382000,13,1,36,212,416,999,5,2012,24,1,1,1021,40,382000,382000,501,4,08516,Graduate degree,36,Male,212,1st gen,Private sector employee,Employed,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0665328,14,6,382000,13,2,36,212,416,999,5,2012,24,6,0,N,0,0,0,501,4,08516,Graduate degree,36,Female,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0665328,14,6,382000,12,1,7,36,416,999,1,1937,4,0,0,N,0,-19999,-1,501,4,08516,Less than high school,7,Male,36,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0665328,14,6,382000,13,2,3,42,416,999,1,1937,1,0,0,N,0,-19999,-1,501,4,08516,Less than high school,3,Female,42,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0665578,10,6,90800,10,2,86,212,999,999,4,1978,18,6,0,N,0,90800,0,501,4,03776,Some college,86,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0665974,26,6,283700,29,2,38,212,999,999,5,2020,16,6,0,N,0,0,0,501,4,05921,High school degree,38,Female,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0665974,26,6,283700,26,2,1,6,999,999,1,1937,0,0,0,N,0,-19999,-1,501,4,05921,No schooling or N/A,1,Female,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0672229,53,6,331000,53,1,40,212,416,999,4,1996,24,1,3,2100,40,191000,191000,501,4,03705,Graduate degree,40,Male,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0672229,53,6,331000,48,2,40,212,416,999,4,1987,22,1,1,3258,40,140000,140000,501,4,03705,Graduate degree,40,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0672229,53,6,331000,58,2,5,6,416,999,1,1937,2,0,0,N,0,-19999,-1,501,4,03705,Less than high school,5,Female,6,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0672229,53,6,331000,67,1,4,6,416,999,1,1937,2,0,0,N,0,-19999,-1,501,4,03705,Less than high school,4,Male,6,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0672433,42,6,208000,41,2,64,212,416,999,4,1991,23,1,1,2100,60,154000,150000,501,4,08900,Graduate degree,64,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0672433,42,6,208000,61,2,27,6,416,999,1,1937,22,1,2,2205,30,22000,22000,501,4,08900,Graduate degree,27,Female,6,2nd gen,Non-profit employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0673616,19,6,260000,14,2,46,212,750,999,4,1981,21,1,3,2310,50,55000,55000,501,4,00115,Bachelors degree,46,Female,212,1st gen,Public sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0673616,19,6,260000,16,2,13,6,750,26,1,1937,11,0,0,N,0,-19999,-1,501,4,00115,Less than high school,13,Female,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0673616,19,6,260000,16,1,11,6,750,26,1,1937,8,0,0,N,0,-19999,-1,501,4,00115,Less than high school,11,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0673844,10,6,108400,12,1,60,212,416,999,4,1996,1,1,7,7200,40,63000,63000,501,4,07301,Less than high school,60,Male,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0674389,15,6,53000,15,1,44,212,416,999,4,2016,16,1,1,4760,40,53000,53000,211,4,06713,High school degree,44,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0674389,15,6,53000,16,2,41,212,416,999,4,2016,16,6,6,9142,0,0,0,211,4,06713,High school degree,41,Female,212,1st gen,Self-employed,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0674389,15,6,53000,13,1,7,6,416,999,1,1937,5,0,0,N,0,-19999,-1,211,4,06713,Less than high school,7,Male,6,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0675099,15,6,225910,14,1,58,6,416,940,1,1937,21,1,1,5740,40,45710,45000,501,4,03705,Bachelors degree,58,Male,6,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0676961,15,6,6100,14,1,74,212,416,999,5,2023,21,6,0,N,0,6100,0,40,4,07311,Bachelors degree,74,Male,212,1st gen,N/A,Not in labor force,Not a citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0677266,72,6,95000,72,2,44,212,416,999,4,1998,21,1,1,0120,40,95000,95000,501,4,07311,Bachelors degree,44,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0681705,12,6,228000,11,2,39,212,416,999,4,1989,22,6,1,3245,3,3000,3000,501,4,03775,Graduate degree,39,Female,212,1st gen,Private sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0681705,12,6,228000,15,1,2,6,939,999,1,1937,0,0,0,N,0,-19999,-1,501,4,03775,No schooling or N/A,2,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0681750,18,6,254000,18,1,69,212,416,999,4,1976,22,1,6,0410,10,121000,0,501,4,05928,Graduate degree,69,Male,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0681750,18,6,254000,18,2,56,212,416,999,4,2001,24,1,1,4522,40,55000,55000,501,4,05928,Graduate degree,56,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0681750,18,6,254000,22,1,25,6,416,999,1,1937,21,1,1,1340,40,78000,78000,501,4,05928,Bachelors degree,25,Male,6,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0682956,8,6,60000,8,1,60,212,402,416,4,1987,22,1,1,2205,35,60000,60000,376,4,06709,Graduate degree,60,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0683316,59,6,672200,48,2,50,212,416,939,4,2010,23,6,0,N,0,-2900,0,501,4,03730,Graduate degree,50,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0683316,59,6,672200,48,1,18,6,148,32,1,1937,14,6,0,N,0,0,0,501,4,03730,Some high school,18,Male,6,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0683316,59,6,672200,54,2,15,6,148,32,1,1937,12,0,0,N,0,0,0,501,4,03730,Some high school,15,Female,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0683316,59,6,672200,61,1,14,6,148,32,1,1937,10,0,0,N,0,-19999,-1,501,4,03730,Less than high school,14,Male,6,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0683771,35,6,62000,35,1,78,212,999,999,4,1963,19,6,2,5000,0,62000,0,423,4,04701,Some college,78,Male,212,1st gen,Non-profit employee,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0683797,14,6,140000,14,1,42,212,416,999,4,2012,24,1,1,1530,40,140000,140000,501,4,01305,Graduate degree,42,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0683797,14,6,140000,13,2,40,212,416,999,4,2012,21,6,1,3640,0,0,0,501,4,01305,Bachelors degree,40,Female,212,1st gen,Private sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0683797,14,6,140000,11,1,10,39,416,999,1,1937,7,0,0,N,0,-19999,-1,501,4,01305,Less than high school,10,Male,39,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0687509,14,6,210500,14,1,53,212,483,999,4,1995,16,1,1,7200,40,25500,25500,501,4,08511,High school degree,53,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0687509,14,6,210500,27,2,23,6,483,999,1,1937,21,1,1,3255,32,1000,1000,501,4,08511,Bachelors degree,23,Female,6,2nd gen,Private sector employee,Employed,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0687509,14,6,210500,14,2,87,212,483,999,4,1956,15,6,0,N,0,9000,0,501,4,08511,Some high school,87,Female,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU0687529,20,6,437050,19,1,62,212,416,999,4,1978,23,1,6,9030,99,383000,0,501,4,05923,Graduate degree,62,Male,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
