educ_factor,age_group,Male,Female,ratio
Less than high school,25-34,248,343,1.3830645161290323
Less than high school,35-44,484,447,0.9235537190082644
Less than high school,45-54,522,624,1.1954022988505748
Less than high school,55-64,907,1194,1.3164277839029768
Less than high school,65-74,1014,1913,1.8865877712031558
Less than high school,75-84,1287,2882,2.2393162393162394
Some high school,25-34,261,247,0.946360153256705
Some high school,35-44,474,619,1.3059071729957805
Some high school,45-54,944,351,0.3718220338983051
Some high school,55-64,1133,1330,1.1738746690203001
Some high school,65-74,1224,1319,1.0776143790849673
Some high school,75-84,511,873,1.7084148727984345
High school degree,25-34,2427,1694,0.6979810465595385
High school degree,35-44,3994,3209,0.8034551827741613
High school degree,45-54,4633,4840,1.044679473343406
High school degree,55-64,8181,8348,1.0204131524263538
High school degree,65-74,4566,7334,1.6062198861147612
High school degree,75-84,2685,4852,1.80707635009311
Some college,25-34,3742,2835,0.7576162479957242
Some college,35-44,5453,5739,1.0524481936548689
Some college,45-54,6607,7754,1.1736037535946724
Some college,55-64,9329,9508,1.0191874799013827
Some college,65-74,6928,7388,1.0663972286374135
Some college,75-84,2455,2389,0.9731160896130346
Bachelors degree,25-34,5095,6023,1.1821393523061825
Bachelors degree,35-44,8628,12740,1.4765878535002317
Bachelors degree,45-54,8963,10435,1.1642307263193128
Bachelors degree,55-64,12742,12057,0.9462407785277036
Bachelors degree,65-74,14193,9364,0.659761854435285
Bachelors degree,75-84,4050,3023,0.7464197530864197
Graduate degree,25-34,9322,10673,1.1449259815490238
Graduate degree,35-44,21084,19429,0.921504458357048
Graduate degree,45-54,12737,12013,0.9431577294496349
Graduate degree,55-64,14086,9453,0.6710918642623882
Graduate degree,65-74,13834,4574,0.33063466820876103
Graduate degree,75-84,6458,2378,0.3682254567977702
