gender,gen,age_group,class_wkrd,n
Female,2nd gen,55-64,Self-employed,866
Female,2nd gen,55-64,Unpaid family member,17
Female,2nd gen,65-74,N/A,531
Female,2nd gen,65-74,Non-profit employee,170
Female,2nd gen,65-74,Private sector employee,478
Female,2nd gen,65-74,Public sector employee,280
Female,2nd gen,65-74,Self-employed,282
Female,2nd gen,65-74,Unpaid family member,17
Female,2nd gen,75-84,N/A,666
Female,2nd gen,75-84,Private sector employee,53
Female,2nd gen,75-84,Public sector employee,10
Female,2nd gen,75-84,Self-employed,58
